capas,neuronas,epocas,learningRate,momentum,Exitoo
1,16,595,5,21,90.8
1,16,831,31,5,91.4
1,9,513,12,3,92
1,3,870,19,5,91.7
1,9,826,11,10,92
1,25,593,13,3,91.5
1,24,757,4,6,91.1
1,21,976,27,10,92.5
1,20,945,27,9,91.7
1,8,842,17,6,92
1,16,607,7,21,90.5
1,8,518,11,5,92.1
1,9,561,13,11,91.8
1,29,752,3,2,91.2
1,16,938,25,14,91.5
1,16,819,29,5,91.7
1,1,865,20,3,84.7
1,25,602,11,2,91
1,16,981,28,14,92
1,12,849,19,1,92.5
1,16,582,3,21,91.6
1,13,560,11,10,91.7
1,16,945,29,13,92.4
1,1,890,19,2,85
1,20,977,27,9,91.9
1,8,543,15,5,92.4
1,25,753,5,3,91.5
1,16,810,25,6,91.7
1,25,577,12,3,91.1
1,8,853,20,6,92.7
1,21,592,3,18,91
1,17,954,27,10,92.9
1,16,991,31,13,91.9
1,24,746,1,6,91.7
1,24,605,12,6,92.2
1,8,550,11,13,92.4
1,3,881,21,5,91.8
1,12,529,11,1,91.6
1,17,817,29,3,91.7
1,9,833,20,3,91.3
1,1,602,3,18,84.5
1,16,970,25,14,91.5
1,24,582,11,5,92
1,4,881,19,1,91
1,17,801,28,3,91.8
1,21,944,27,10,92.7
1,24,767,7,5,91.2
1,8,573,12,14,92.5
1,8,529,13,5,92.3
1,9,849,21,3,92
1,3,586,1,22,91.6
1,28,593,11,1,91.4
1,21,816,27,2,92.9
1,24,765,4,6,91.2
1,9,529,13,3,91.9
1,17,986,27,10,92.9
1,3,870,19,5,91.7
1,17,929,28,11,91.7
1,8,575,15,13,91.6
1,8,851,21,5,92.3
1,4,597,3,17,91.7
1,16,829,28,6,92
1,9,538,11,2,92.1
1,1,865,20,3,84.7
1,8,563,13,13,92.2
1,24,586,9,6,91.8
1,29,752,3,2,91.2
1,17,977,29,11,92.6
1,16,934,27,13,92.1
1,8,863,23,5,92.2
1,3,605,4,22,91.5
1,9,513,12,3,92
1,8,554,9,14,92
1,25,753,5,3,91.5
1,16,959,31,13,91.9
1,20,821,27,1,91.8
1,1,890,19,2,85
1,24,603,13,5,91.6
1,21,976,27,10,92.5
1,8,838,19,5,91.8
1,1,577,4,19,84.2
1,9,561,13,11,91.8
1,20,949,27,9,91.7
1,3,891,21,5,91.8
1,16,966,27,13,91.8
1,8,541,12,6,92.6
1,24,746,1,6,91.7
1,16,831,31,5,91.4
1,25,602,11,2,91
1,5,848,19,2,90.8
1,1,593,5,19,84.1
1,16,955,29,13,92.4
1,16,989,28,14,92.4
1,24,767,7,5,91.2
1,29,592,11,2,91.6
1,9,553,12,11,91.9
1,4,885,19,1,91
1,8,518,11,5,92.1
1,16,810,25,6,91.7
1,1,858,19,2,85
1,21,537,17,2,92.6
1,3,931,29,14,90.9
1,21,871,9,2,92.4
1,1,731,23,18,84.1
1,13,832,10,5,91.8
1,4,967,19,21,90.7
1,13,623,30,2,91.5
1,5,683,9,10,91.6
1,22,545,6,16,91
1,15,639,30,5,91.5
